sno,ss_id,ss_name,PTR_Capacity,Voltage_Rating,Manufacturer,ManufSerialNo,YoM,Doc
1,1,132/33KV SS Thungaturthy,50,132/33KV,EMCO,HT1531/12137,2002,25-09-2015
2,1,132/33KV SS Thungaturthy,50,132/33KV,BHARAT BIJLEE LTD,5469/42,2015,06-03-2016
3,2,132/33/11KV SS Dharmasagar,50,132/11KV,VENKATESHWARA ELECT IND P LTD,VEI/50M/03,2009,07-07-2010
4,2,132/33/11KV SS Dharmasagar,50,132/11KV,VENKATESHWARA ELECT IND P LTD,V.E.I/50M/04,2009,08-05-2011
5,2,132/33/11KV SS Dharmasagar,31.5,132/11KV,TOSHIBA,90164A12,2016,14-03-2016
6,2,132/33/11KV SS Dharmasagar,50,132/11KV,BHARAT BIJLEE LTD,5619/01,2017,20-08-2018
7,2,132/33/11KV SS Dharmasagar,50,132/33KV,TECHNICAL ASSOCIATES LTD,SP-1131-4,2019,23-12-2020
8,4,132/11KV SS Bommakuru LIS,31.5,132/11KV,BHARAT BIJLEE LTD,05621/03,2018,29-08-2018
9,4,132/11KV SS Bommakuru LIS,31.5,132/11KV,BHARAT BIJLEE LTD,5621/02,2018,08-03-2018
10,5,132/11KV SS Dharmora,10/16,132/11KV,INDO TECH TRANSFORMERS LTD,40506,2006,04-01-2008
11,5,132/11KV SS Dharmora,10/16,132/11KV,ANDREW YULE,13300,2007,14-10-2009
12,6,132/11KV SS Dubbathanda,31.5,132/11KV,TECHNICAL ASSOCIATES LTD,SP1125-2,2017,10-11-2017
13,6,132/11KV SS Dubbathanda,31.5,132/11KV,TECHNICAL ASSOCIATES LTD,SP1125-1,2017,04-12-2017
14,7,132/11KV SS Gandiramaram,31.5,132/11KV,BHARAT BIJLEE LTD,05621/01,2018,20-03-2018
15,7,132/11KV SS Gandiramaram,31.5,132/11KV,BHARAT BIJLEE LTD,5621/4,2018,18-07-2018
16,8,132/11KV SS Gudem,10/16,132/11KV,ANDREW YULE,13693,2015,18-09-2015
17,8,132/11KV SS Gudem,10/16,132/11KV,ANDREW YULE,13694,2015,13-08-2015
18,9,132/11KV SS Hathighat,50,132/11KV,BHARAT BIJLEE LTD,5619/02,2018,01-03-2019
19,9,132/11KV SS Hathighat,50,132/33KV,BHARAT BIJLEE LTD,5619/03,2018,01-03-2019
20,10,132/11KV SS Kanakapur,10/16,132/11KV,VIJAI ELECTRICALS LTD,VEI/16M/188,2017,26-11-2018
21,10,132/11KV SS Kanakapur,10/16,132/11KV,VIJAI ELECTRICALS LTD,VEI/16M/287,2018,26-11-2018
22,11,132/11KV SS Kosli,10/16,132/11KV,INDO TECH TRANSFORMERS LTD,40505,2006,21-06-2007
23,11,132/11KV SS Kosli,10/16,132/11KV,INDO TECH TRANSFORMERS LTD,40508,2006,07-08-2009
24,12,132/11KV SS Jogapur,10/16,132/11KV,VENKATESHWARA ELECT IND P LTD,VEI/16M/186,2017,30-08-2018
25,12,132/11KV SS Jogapur,10/16,132/11KV,VENKATESHWARA ELECT IND P LTD,VEI/16M/187,2017,30-08-2018
26,13,132/11KV SS Malkapet,10/16,132/11KV,VENKATESHWARA ELECT IND P LTD,VEI/16M/290,2018,27-03-2023
27,13,132/11KV SS Malkapet,10/16,132/11KV,VENKATESHWARA ELECT IND P LTD,VEI/16M/292,2018,27-03-2023
28,13,132/11KV SS Malkapet,50,132/11KV,BHARAT BIJLEE LTD,5619/5,2018,27-03-2023
29,13,132/11KV SS Malkapet,50,132/11KV,BHARAT BIJLEE LTD,5619/6,2018,27-03-2023
30,14,132/11KV SS Rangaraopally,31.5,132/11KV,ATLANTA ELECTRICALS PVT LTD,1309/20,2018,15-11-2019
31,14,132/11KV SS Rangaraopally,31.5,132/11KV,ATLANTA ELECTRICALS PVT LTD,1309/10,2018,04-12-2019
32,15,132/11KV SS Regonda(Gouravelly),50,132/11KV,BHARAT BIJLEE LTD,5619/08,2017,31-07-2022
33,15,132/11KV SS Regonda(Gouravelly),50,132/11KV,BHARAT BIJLEE LTD,5619/4,2017,31-07-2022
34,15,132/11KV SS Regonda(Gouravelly),50,132/11KV,BHARAT BIJLEE LTD,5619/7,2017,03-08-2022
35,15,132/11KV SS Regonda(Gouravelly),50,132/11KV,ECE INDUSTRIES LIMITED,S-87194,2021,28-03-2022
36,15,132/11KV SS Regonda(Gouravelly),50,132/11KV,ECE INDUSTRIES LIMITED,S-87193,2021,28-03-2022
37,16,132/11KV SS Yellampally,10/16,132/11KV,ECE INDUSTRIES LIMITED,S86261,2010,25-03-2011
38,16,132/11KV SS Yellampally,10/16,132/11KV,ECE INDUSTRIES LIMITED,S86260,2010,25-03-2011
39,17,132/33KV SS Rajavaram (RS Ghanpur),10/16,132/11KV,VENKATESHWARA ELECT IND P LTD,VEI/16M/288,2018,30-03-2022
40,17,132/33KV SS Rajavaram (RS Ghanpur),10/16,132/11KV,VENKATESHWARA ELECT IND P LTD,VEI/16M/286,2017,30-03-2022
41,17,132/33KV SS Rajavaram (RS Ghanpur),10/16,132/33KV,VENKATESHWARA ELECT IND P LTD,VEI/16M/442,2021,25-05-2022
42,18,132/33KV SS Haliya,50,132/33KV,ECE INDUSTRIES LIMITED,S-86648,2015,22-12-2015
43,18,132/33KV SS Haliya,50,132/33KV,TECHNICAL ASSOCIATES LTD,SO-0000484,2015,13-02-2016
44,19,132/33KV SS Jangapally,10/16,132/33KV,ETE LTD,10654,1990,01-08-2019
45,19,132/33KV SS Jangapally,10/16,132/33KV,APEX TRANSFORMERS LTD,T-1097B/02,2000,02-06-2019
46,19,132/33KV SS Jangapally,10/16,132/33KV,NGEF LTD,2800055570,1995,13-05-2020
47,20,132/33KV SS Achampet,50,132/33KV,EMCO,HT1531/12130,2002,03-03-2016
48,20,132/33KV SS Achampet,80,132/33KV,TRANSFORMERS & RECTIFIERS LTD,PC0101618,2021,27-12-2021
49,21,132/33KV SS Adilabad,31.5,132/33KV,INDO TECH TRANSFORMERS LTD,IT-43116,2008,03-02-2009
50,21,132/33KV SS Adilabad,31.5,132/33KV,ANDREW YULE,13374,2008,04-12-2015
51,21,132/33KV SS Adilabad,31.5,132/33KV,APEX TRANSFORMERS LTD,T-782/46013,1990,03-03-2017
52,22,132/33KV SS Aitipamula,31.5,132/33KV,BHARAT BIJLEE LTD,5333/03,2012,21-03-2013
